Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,LOJA,930,L1930 - DP SENADOR VASCONCELOS,DADOS,VIVO,210000197978296,449.21,3019300000,,,,,
ATIVO,Vendas,847,VD847 - DSP ITAPIRA,DADOS,ALGAR,9858035,,2008470000,,,,,
ATIVO,Vendas,847,VD847 - DSP ITAPIRA,DADOS,ALGAR,9858036,,2008470000,,,,,
ATIVO,Não informado,825,VD825 - DSP JEQUIE,MONITORA DADOS,VIVO,713740196321993,20,2009000401,,,,,
ATIVO,Não informado,328,VD328 - DSP JARDIM DAS BANDEIRAS,MONITORA DADOS,VIVO,115070160619296,18.33,2003280000,,,,,
ATIVO,Não informado,2702,L2702 - Campinas Shopping,INN,EMBRATEL,CAS_IP_34614,450,2027020000,,,,,
ATIVO,LOJA,2695,L2695 - DSP NOVA JERUSALÉM,MONITORA DADOS,VIVO,110000198186092,50,2026950000,,,,,"Lojas - Link A (Dados)_VAREJO_Vendas_DIRETORIA OPERAÇÕES, ENG E EXP_sem divisional"
ATIVO,LOJA,2695,L2695 - DSP NOVA JERUSALÉM,VPN IP MPLS,VIVO,110002097120094,350,2026950000,10 MBPS,,,,
ATIVO,Não informado,2695,L2695 - DSP NOVA JERUSALÉM,INN,EMBRATEL,SPO_IP_91344,450,2026950000,,,,,
ATIVO,LOJA,2671,L2671 - DSP URBANOVA II,MONITORA DADOS,VIVO,115630197991690,50,2026710000,,,,,"Lojas - Link A (Dados)_VAREJO_Vendas_DIRETORIA OPERAÇÕES, ENG E EXP_sem divisional"
ATIVO,Não informado,2671,L2671 - DSP URBANOVA II,VPN IP MPLS,VIVO,115633949508390,350,2026710000,10 MBPS,,,,
ATIVO,Não informado,2671,L2671 - DSP URBANOVA II,INN,EMBRATEL,SJC_IP_04284,450,2026710000,,,,,
ATIVO,Não informado,2668,L2668 - DSP ALPHAVILLE LITORAL NORTE,VPN IP MPLS,VIVO,711220196065599,50.67,2026680000,10 MBPS,,,,
ATIVO,LOJA,2668,L2668 - DSP ALPHAVILLE LITORAL NORTE,INN,EMBRATEL,CAR_IP_01635,450,2026680000,,,,,
ATIVO,Não informado,2667,L2667 - DSP MARACATINS,MONITORA DADOS,VIVO,110000193215191,50,2026670000,,,,,
ATIVO,Não informado,2667,L2667 - DSP MARACATINS,VPN IP MPLS,VIVO,110005051066792,350.01,2026670000,10 MBPS,,,,
ATIVO,Não informado,2667,L2667 - DSP MARACATINS,INN,EMBRATEL,SPO_IP_86959,453.77,2026670000,,,,,
ATIVO,LOJA,2666,L2666 - DSP ELISIO CORDEIRO,MONITORA DADOS,VIVO,110000197991897,50,2026660000,,,,,"Lojas - Link A (Dados)_VAREJO_Vendas_DIRETORIA OPERAÇÕES, ENG E EXP_sem divisional"
ATIVO,Não informado,2666,L2666 - DSP ELISIO CORDEIRO,VPN IP MPLS,VIVO,110003904031694,350,2026660000,10 MBPS,,,,
ATIVO,LOJA,2661,L2661 - DSP CONTINENTAL SHOPPING,MONITORA DADOS,VIVO,110000196066596,20,2026610000,,,,,
ATIVO,Não informado,2661,L2661 - DSP CONTINENTAL SHOPPING,VPN IP MPLS,VIVO,110003714205292,380,2026610000,10 MBPS,,,,
ATIVO,Lojas,2661,L2661 - DSP CONTINENTAL SHOPPING,INN,EMBRATEL,SPO_IP_90552,450,2026610000,,,,,
ATIVO,Lojas,2661,L2661 - DSP CONTINENTAL SHOPPING,INN,EMBRATEL,SPO_IP_90697,450,2026610000,,,,,
ATIVO,Não informado,2652,L2652 - DSP BRAGANÇA PAULISTA IV,VPN IP MPLS,VIVO,111164033278691,316.67,2026520000,10 MBPS,,,,
ATIVO,LOJA,2652,L2652 - DSP BRAGANÇA PAULISTA IV,INN,EMBRATEL,BGP_IP_00770,450,2026520000,,,,,
