STATUS,POLÍTICA COML.,CODIGO,VD ANTIGO 1,VD ANTIGO 2,PEOPLE,LOJAS,REGIAO GGL,REGIAO GR,REGIAO DIV,NOME GGL,NOME GR,NOME DIV,BRICK,REGIAO IM,ENDEREÇO,BAIRRO,CIDADE,ESTADO,CEP,LATITUDE,LONGITUDE,NOME DA FACHADA,DATA INAUGURAÇÂO,POLO DELIVERY,SAFRA,CLUSTER,TIPO LOJA,VAGAS/ESTACIONAMENTO,PDVs ATIVOS,CD SUPRIDOR,INSCR. ESTADUAL,CNPJ,CENTRO DE CUSTOS,ÁREA DE VENDA,METRO LINEAR,ESCOAMENTO,CLUSTER DE PARCELAMENTO,TELEFONE1,TELEFONE2,CELULAR,E-MAIL,SAB,DOM,FUNC.,2ª a 6ª,PSICOTRÓPICOS,FARMÁCIA POP.,SERVIÇOS FARMACEUTICOS,VACINAS,EAC,DENGUE/COVID,INJETAVEIS,IFOOD,RAPPI,UBER,SUPER EXPRESSA,INICIO DE OBRA,TERMINO DE OBRA,FACHADA,BANDEIRA,BICICLETARIO,IMOBILIÁRIO,REALOCAÇÃO,DATA DA VIRADA,DATA INATIVACAO
ATIVA,315.0,318,,,VD318,DSP SANTA BARBARA DOESTE,SP AMERICANA,SP INTERIOR,SP,FERNANDO LUCHINE,FERNANDA MALAQUIAS,BRUNA COSTA,,,"AV DE CILLO,167",CENTRO,SANTA BARBARA D OESTE,SP,13450041,-22.754348999999998,-47.413671,DROGARIA SAO PAULO,2009-08-04 00:00:00,NÃO,MADURA,AR_G,Meio de Quadra,9.0,3.0,VD910,606.226.549.113,61.412.110/0265-45,2003180000.0,192.14000000000001,77.04,NORMAL,PADRÃO,(19)3455-4096,34554097,19998838331,sbdoeste@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,315.0,322,,,VD322,DSP SAO CARLOS,SP ARARAQUARA,SP NOROESTE,SP,IVAN OLIVEIRA,OLIVEIRA JUNIOR (interino),BRUNA COSTA,,,"AV SAO CARLOS,2358 / 2364",CENTRO,SAO CARLOS,SP,13560002,-22.025662,-47.890507,DROGARIA SAO PAULO,2010-04-28 00:00:00,NÃO,MADURA,CBR_M,Esquina,8.0,3.0,VD910,637326527110,61.412.110/0269-79,2003220000.0,106.0,61.08,NORMAL,PADRÃO,(16)3307-6550,33071938,16996396553,scarlos@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
INATIVA,700.0,333,,,VD333,DSP POUSO ALEGRE,MG SUL DE MINAS,MINAS,,,,,,,"AV DR. LISBOA,116",CENTRO,POUSO ALEGRE,MG,37550000,-22.233157,-45.934056999999996,DROGARIA SAO PAULO,2010-05-20 00:00:00,NÃO,MADURA,CBR_G,Meio de Quadra,0.0,4.0,VD909,ISENTO,00.000.000/0000-00,2003330000.0,136.0,62.04,,,,,,,,,,,,BLOQUEADA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,,,,,,DSP,,,,,30/04/2023
ATIVA,519.0,339,,,VD339,DSP SHOPPING TAMBORE,SP ALPHAVILLE,SP CENTRO,SP,ANDRE RAMOS,OLIVEIRA JUNIOR,BRUNA COSTA,,,"AVENIDA PIRACEMA,669 LOJA 400 C PISO TERREO",TAMBORE,BARUERI,SP,6460030,-23.504234,-46.834655,DROGARIA SAO PAULO,2011-04-28 00:00:00,NÃO,MADURA,AR_P,Shopping,0.0,3.0,VD910,206291737110,61.412.110/0288-31,2003390000.0,139.0,48.0,NORMAL,PADRÃO,(11)4191-2258,(11)41910984,(11)964109079,shoptambore@dpsp.com.br,10 ÀS 22,10 ÀS 20,DOMINGOS E FERIADOS,10 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,INATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,97.0,345,,,VD345,DSP PORTUGAL II,SP SANTO ANDRE,SP LITORAL+ABC,SP,JAQUES AMORIM,ANDERSON SANTOS,BRUNA COSTA,,,"AV PORTUGAL,602",CENTRO,SANTO ANDRE,SP,9040000,-23.659201,-46.531838,DROGARIA SAO PAULO,2011-04-27 00:00:00,NÃO,MADURA,AR_M,Esquina,26.0,3.0,VD910,626804900110,61.412.110/0286-70,2003450000.0,235.19,64.02,ESCOADORA,PADRÃO,(11)4427-4415,44276019,11910333629,portugal2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,ATIVO,INATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,INATIVO,ATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,621.0,348,,,VD348,DSP JARDIM MIRIAM,SP DIADEMA,SP SUL,SP,VICTOR SILVA,ALLAN YOUNG,BRUNA COSTA,,,"AV CUPECE,5400 E 5460",JARDIM PRUDENCIA,SAO PAULO,SP,4366001,-23.680336,-46.638797,DROGARIA SAO PAULO,2011-01-07 00:00:00,NÃO,MADURA,POP_P,Meio de Quadra,17.0,3.0,VD910,147288553115,61.412.110/0290-56,2003480000.0,167.0,53.04,NORMAL,PADRÃO,(11)5621-9135,56253162,11955915237,jmiriam@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,BLOQUEADA,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,ATIVO,ATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,528.0,402,,,VD402,DSP PANAMERICANA,SP PINHEIROS,SP CENTRO,SP,CESAR MENDONCA,OLIVEIRA JUNIOR,BRUNA COSTA,,,"PC PAN-AMERICANA,301",ALTO DE PINHEIROS,SAO PAULO,SP,5461000,-23.553815999999998,-46.708036,DROGARIA SAO PAULO,1976-06-01 00:00:00,NÃO,MADURA,AR_G,Meio de Quadra,30.0,4.0,VD910,147.856.677.119,61.412.110/0365-08,2004020000.0,153.59,62.04,NORMAL,PADRÃO,(11)3023-0694,30211467,11955692837,panamericana@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,555.0,405,,,VD405,DSP SHOPPING IGUATEMI CAMPINAS,SP IGUATEMI CAMPINAS,SP INTERIOR,SP,MARILEY TOMAZINI,FERNANDA MALAQUIAS,BRUNA COSTA,,,AV IGUATEMI N 777 QUADRA 06 LJ 07,JARDIM BRANDINA,CAMPINAS,SP,13092500,-22.892965999999998,-47.026156,DROGARIA SAO PAULO,1980-02-01 00:00:00,NÃO,MADURA,AR_M,Shopping,0.0,4.0,VD910,795.134.984.111,61.412.110/0377-41,2004050000.0,118.01,66.06,NORMAL,PADRÃO,(19)3294-0647,32520044,19998828341,shopiguatemi@dpsp.com.br,10 ÀS 22,12 ÀS 20,DOMINGOS E FERIADOS,10 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
INATIVA,0.0,410,,,VD410,DSP SHOPPING WEST PLAZA I,,,,,,,,,AV ANTARTICA N 380 ARCO 2306  1 PISO  BLC,AGUA BRANCA,SAO PAULO,SP,5003020,0.0,0.0,DROGARIA SAO PAULO,1996-04-01 00:00:00,NÃO,MADURA,CONCEITO,SEM TIPO FILIAL,0.0,2.0,VD903,147.820.539.112,61.412.110/0325-10,,0.0,0.0,,,,,,,,,,,,NÃO COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,,,,,,DSP,,,,,03/04/2011
ATIVA,974.0,416,,,VD416,DSP SAO BENTO,SP VILA MARIANA,SP CENTRO,SP,VANESSA FILIPE,OLIVEIRA JUNIOR,BRUNA COSTA,,,"LARGO SAO BENTO,10",CENTRO,SAO PAULO,SP,1029010,-23.546104,-46.635504,DROGARIA SAO PAULO,1985-01-01 00:00:00,NÃO,MADURA,CBR_M,Esquina,0.0,5.0,VD910,147.807.597.112,61.412.110/0313-87,2004160000.0,140.71,40.08,NORMAL,PADRÃO,(11)3229-9933,32285844,11999269270,sbento@dpsp.com.br,06 ÀS 20,NÃO ABRE,CONVENCIONAL,06 ÀS 20,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,INATIVO,INATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,552.0,430,,,VD430,DSP SHOPPING INTERLAGOS I,SP INTERLAGOS,SP SUL,SP,CARLOS SILVA,ALLAN YOUNG,BRUNA COSTA,,,AVENIDA INTERLAGOS 2255 ARCOS 45 E 46,JARDIM UMUARAMA,SAO PAULO,SP,4661200,-23.675376,-46.677578999999994,DROGARIA SAO PAULO,1989-10-01 00:00:00,NÃO,MADURA,CBR_P,Shopping,0.0,4.0,VD910,147.856.037.118,61.412.110/0350-21,2004300000.0,85.92,54.0,ESCOADORA,PADRÃO,(11)5562-1647,55632961,11910152952,shopinterlagos@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,525.0,441,,,VD441,DSP SHOPPING PAULISTA,SP PAULISTA,SP CENTRO,SP,FABIO FREITAS,OLIVEIRA JUNIOR,BRUNA COSTA,,,RUA TREZE DE MAIO N  1947 ARCOS 115 16 17 18,BELA VISTA,SAO PAULO,SP,1327001,-23.570314,-46.643795,DROGARIA SAO PAULO,1989-10-01 00:00:00,NÃO,MADURA,AR_P,Shopping,0.0,5.0,VD910,147.821.590.113,61.412.110/0327-82,2004410000.0,88.52,55.08,NORMAL,PADRÃO,(11)3284-0271,31711558,11942277167,shoppaulista@dpsp.com.br,10 ÀS 22,11 ÀS 21,DOMINGOS E FERIADOS,10 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,537.0,444,,,VD444,DSP SHOPPING CENTER MOGI,SP MOGI,SP LESTE,SP,JULIANA  SILVA,VALTER TOMAZ,BRUNA COSTA,,,AV VEREADOR N  YAGUE GUIMARAES N 1001 ARCOS 1A E 1B,SOCORRO,MOGI DAS CRUZES,SP,8780990,-23.516505,-46.178976999999996,DROGARIA SAO PAULO,1981-10-01 00:00:00,NÃO,MADURA,CBR_M,Shopping,0.0,3.0,VD910,454.193.992.111,61.412.110/0337-54,2004440000.0,116.39,57.06,ESCOADORA,PADRÃO,(11)4799-6926,47263607,11910227967,shopcmogi@dpsp.com.br,08 ÀS 22,10 ÀS 22,DOMINGOS E FERIADOS,08 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,528.0,447,,,VD447,DSP SHOPPING WEST PLAZA II,SP HIGIENOPOLIS,SP CENTRO,SP,THAMIRIS ALMEIDA,OLIVEIRA JUNIOR,BRUNA COSTA,,,AV ANTARTICA N  380   ARCO 1103  TERREO BLOCO A,AGUA BRANCA,SAO PAULO,SP,5003020,-23.529840999999998,-46.676103,DROGARIA SAO PAULO,2002-09-01 00:00:00,NÃO,MADURA,CBR_M,Shopping,0.0,3.0,VD910,147.822.860.112,61.412.110/0330-88,2004470000.0,116.71000000000001,54.0,NORMAL,PADRÃO,(11)3673-9617,38623539,11974503187,shopwplaza2@dpsp.com.br,09 ÀS 22,12 ÀS 20,DOMINGOS E FERIADOS,09 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,669.0,475,,,VD475,DSP VILABOIM,SP HIGIENOPOLIS,SP CENTRO,SP,THAMIRIS ALMEIDA,OLIVEIRA JUNIOR,BRUNA COSTA,,,PRACA VILABOIM NS 64 E 58 LJS01 E 02,HIGIENOPOLIS,SAO PAULO,SP,1241010,-23.544522999999998,-46.661001,DROGARIA SAO PAULO,1998-12-01 00:00:00,NÃO,MADURA,AR_P,Meio de Quadra,0.0,3.0,VD910,147.833.204.110,61.412.110/0339-16,2004750000.0,150.0,47.04,NORMAL,PADRÃO,(11)3826-2783,36669311,11995220129,vboim@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,ATIVO,INATIVO,2023-09-10,2023-10-15,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,73.0,480,,,VD480,DSP SHOPPING CENTER NORTE II,SP JARDIM SAO PAULO,SP LESTE,SP,ALEX BATISTA,VALTER TOMAZ,BRUNA COSTA,,,TRAVESSA CASALBUONO N 120 LJS 409 411,BAIRRO DA COROA,SAO PAULO,SP,2047050,-23.515492,-46.61755,DROGARIA SAO PAULO,2003-01-01 00:00:00,NÃO,MADURA,CBR_M,Shopping,0.0,3.0,VD910,147.820.431.118,61.412.110/0324-30,2004800000.0,63.74,36.0,NORMAL,PADRÃO,(11)2252-2542,20891077,11910218881,shopcnorte2@dpsp.com.br,10 ÀS 22,10 ÀS 22,DOMINGOS E FERIADOS,10 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
